node_id,username,risk_score,degree,strength,min_distance_to_suspected
270,Jura1,1.0,198,592,1.0
319,Matěj Suchánek,0.6726009660693668,152,325,1.0
376,Pigsonthewing,0.6253064499721234,94,263,1.0
494,ValterVB,0.6084187513125319,98,200,1.0
342,Multichill,0.43280331357892454,82,144,1.0
429,Sjoerddebruin,0.43224460911497015,63,124,1.0
351,Nikki,0.32102440550210526,53,109,1.0
236,Innocent bystander,0.315230616262153,49,117,1.0
444,Succu,0.30393339317376983,68,118,1.0
165,Edgars2007,0.3036961738476983,62,141,1.0
167,Edoderoo,0.3036847291275319,82,150,1.0
530,Zolo,0.30359896336256853,58,101,1.0
240,Izno,0.28029852117150894,48,78,1.0
398,Ricordisamoa,0.2684215877631449,68,119,1.0
235,Infovarius,0.26230974989803985,46,71,1.0
199,GZWDer,0.2567042719664481,47,90,1.0
514,XXN,0.24491731877749107,43,98,1.0
126,ChristianKl,0.24480187650689056,42,77,1.0
443,Stryn,0.22695572456111235,32,48,1.0
432,Snipre,0.22152659278607828,48,61,1.0
