node_id,username,risk_score,degree,strength,min_distance_to_suspected
3072,Pigsonthewing,1.0,695,3781,1.0
1058,ArthurPSmith,0.9372908828050411,642,2670,1.0
2665,Matěj Suchánek,0.759609180509541,733,2928,1.0
1846,Ghouston,0.6446126111314945,544,2129,1.0
2755,MisterSynergy,0.6376303947790518,447,1967,1.0
3613,Tagishsimon,0.5877207887220965,580,2059,1.0
2186,Jheald,0.5117656844856263,474,2012,1.0
1832,GerardM,0.4908907619314676,466,2051,1.0
2201,Jmabel,0.48442115834493255,464,1925,1.0
2806,Multichill,0.41180917322063915,477,1643,1.0
3741,TomT0m,0.396103810941693,555,2735,1.0
1800,GZWDer,0.3951393300963785,429,1533,1.0
3225,Richard Arthur Norton (1958- ),0.39442536659380495,334,1592,1.0
3558,Succu,0.3898135922928124,460,1880,1.0
2546,Lydia Pintscher (WMDE),0.3636053176169452,652,2716,1.0
2978,PKM,0.35738723316415955,370,1403,1.0
3982,Ymblanter,0.35581973134731465,628,2248,1.0
3459,Sjoerddebruin,0.35387924107019864,438,1763,1.0
2068,Innocent bystander,0.35182250618363,394,1967,1.0
3001,Pasleim,0.34698079819809935,443,1613,1.0
