node_id,username,risk_score,degree,strength,min_distance_to_suspected
1329,ChristianKl,1.0,835,4705,1.0
3072,Pigsonthewing,0.7734954069767982,695,3781,1.0
1058,ArthurPSmith,0.7455803873335144,642,2670,1.0
2665,Matěj Suchánek,0.7303931695156693,733,2928,1.0
1846,Ghouston,0.6607081764951303,544,2129,1.0
3613,Tagishsimon,0.6467245579978661,580,2059,1.0
2186,Jheald,0.5974897596864007,474,2012,1.0
3741,TomT0m,0.5784979213933797,555,2735,1.0
2755,MisterSynergy,0.5772632987561392,447,1967,1.0
2201,Jmabel,0.5594551605713322,464,1925,1.0
2806,Multichill,0.5480983383823113,477,1643,1.0
2068,Innocent bystander,0.5442570209567411,394,1967,1.0
1832,GerardM,0.5430389998977553,466,2051,1.0
2546,Lydia Pintscher (WMDE),0.5367429346376523,652,2716,1.0
3982,Ymblanter,0.5126641454778171,628,2248,1.0
1800,GZWDer,0.5113445142304099,429,1533,1.0
3001,Pasleim,0.5050767059274436,443,1613,1.0
3459,Sjoerddebruin,0.5012419105629995,438,1763,1.0
3969,Yair rand,0.49872165287359127,533,2122,1.0
3558,Succu,0.4937159440827298,460,1880,1.0
