node_id,username,risk_score,degree,strength,min_distance_to_suspected
1344,Pasleim,1.0,193,330,1.0
1767,VIGNERON,0.9695863106502924,219,402,1.0
1230,Multichill,0.8588638042443247,193,362,1.0
1383,Pigsonthewing,0.8514460212013901,185,333,1.0
326,ArthurPSmith,0.7862995582280891,164,298,1.0
856,Ivan A. Krestinin,0.6842951734022902,161,265,1.0
1853,Yair rand,0.6614723718862624,135,247,1.0
997,Kolja21,0.651108829628505,168,401,1.0
683,Fnielsen,0.6425980544448276,125,200,1.0
460,ChristianKl,0.5994144675903318,130,203,1.0
260,Andrew Gray,0.5541588923928721,127,195,1.0
743,Ghouston,0.5363772553568951,131,190,1.0
1885,Zolo,0.5288246175327136,163,390,1.0
1722,TomT0m,0.5140413980560483,127,209,1.0
1892,billinghurst,0.4481583746547024,100,166,1.0
503,Danrok,0.4100779734169675,135,243,1.0
1205,MisterSynergy,0.40948517932864914,118,183,1.0
1027,Laddo,0.36301198010906466,102,157,1.0
1781,Verdy p,0.348351827087668,113,160,1.0
912,Jklamo,0.3285161998850479,95,138,1.0
