xmin,ymin,xmax,ymax,accident_count,rank
429900,433200,430900,434200,452,1
429900,433300,430900,434300,438,2
430000,433200,431000,434200,433,3
429900,433100,430900,434100,423,4
429800,433200,430800,434200,418,5
430000,433300,431000,434300,416,6
429900,433000,430900,434000,414,7
430000,433100,431000,434100,409,8
429700,433200,430700,434200,403,9
429800,433300,430800,434300,403,10
429900,433400,430900,434400,402,11
429800,433000,430800,434000,401,12
429800,433100,430800,434100,399,13
430000,433000,431000,434000,397,14
429700,433300,430700,434300,394,15
430100,433200,431100,434200,391,16
429600,433200,430600,434200,386,17
429700,433100,430700,434100,385,18
430200,433200,431200,434200,383,19
429700,433000,430700,434000,383,20
430000,433400,431000,434400,381,21
429900,432900,430900,433900,381,22
429800,432800,430800,433800,380,23
430100,433100,431100,434100,380,24
429900,432800,430900,433800,379,25
430100,433000,431100,434000,378,26
429800,432900,430800,433900,378,27
430100,433300,431100,434300,378,28
430200,433100,431200,434100,375,29
429600,433300,430600,434300,375,30
430200,433000,431200,434000,373,31
430200,433300,431200,434300,373,32
429800,433400,430800,434400,372,33
429600,433100,430600,434100,370,34
429500,433200,430500,434200,370,35
429700,433400,430700,434400,369,36
429600,433000,430600,434000,366,37
430000,432900,431000,433900,365,38
429500,433300,430500,434300,364,39
430300,433300,431300,434300,361,40
430000,432800,431000,433800,361,41
430300,433200,431300,434200,359,42
429500,433100,430500,434100,353,43
430100,432900,431100,433900,352,44
430100,432800,431100,433800,352,45
430200,432900,431200,433900,351,46
430100,433400,431100,434400,350,47
430200,433400,431200,434400,350,48
429500,433000,430500,434000,349,49
429700,432900,430700,433900,349,50
429700,432800,430700,433800,348,51
429400,433200,430400,434200,348,52
429600,433400,430600,434400,347,53
430300,433100,431300,434100,346,54
429400,433300,430400,434300,344,55
430300,433000,431300,434000,343,56
430200,432800,431200,433800,342,57
430300,433400,431300,434400,340,58
429500,433400,430500,434400,338,59
429600,432900,430600,433900,333,60
429900,432700,430900,433700,331,61
429800,432700,430800,433700,331,62
429600,432800,430600,433800,330,63
429400,433100,430400,434100,329,64
429400,433000,430400,434000,324,65
430300,432900,431300,433900,323,66
429300,433200,430300,434200,318,67
430100,432700,431100,433700,317,68
429900,433500,430900,434500,316,69
